DLV,EFV,NVP
0.3,0.4,0.7
0.1,0.1,0.1
1.8,1.2,2.1
0.1,0.4,2.1
0.2,17.5,72
2.3,0.9,1
5.4,400,400
0.4,0.5,0.7
0.1,0.2,0.5
2.4,8.1,9.7
0.6,0.6,0.9
0.4,0.4,0.6
0.2,0.2,0.4
1.1,0.9,1.5
0.1,0.1,0.3
0.1,0.2,0.2
0.4,1.7,400
0.7,0.7,0.9
0.7,0.6,0.7
0.9,13.2,400
0.5,0.3,0.4
200,400,400
1.8,0.7,1.5
0.4,0.2,0.2
200,400,400
8.1,0.6,37
0.7,0.4,0.3
0.7,0.5,0.6
0.8,0.5,0.5
200,400,400
0.6,0.4,0.3
60,15,400
62,15,400
15,3.7,280
2,1,1
0.3,0.4,0.6
6.1,1,85
48,400,400
1,1,1.1
3,2.8,5.3
49,2.8,400
20,2.6,2.6
0.5,0.4,0.4
66,7,400
50,4.3,299
1.1,0.7,0.7
0.2,0.3,0.4
88.8,20.7,41.8
0.1,0.2,0.2
21.2,5.8,400
0.5,0.5,0.6
200,400,400
5.5,33,300
200,41,400
NaN,400,400
0.4,0.4,0.6
7.4,0.7,150
0.1,0.2,0.3
0.8,1,2
0.4,0.5,0.3
0.5,0.3,0.5
2.3,1.8,1.5
200,400,400
200,72,219
200,41,300
0.7,0.5,0.7
24,1,53
103.4,273.5,22.1
0.5,0.3,0.3
41,15,55
1.2,1.1,1.3
79,400,400
1.5,1.2,1.5
23,19,35
0.4,0.2,0.3
0.3,0.5,1
0.7,0.7,0.5
0.4,0.4,0.5
0.2,0.3,0.4
2,1,0.7
50.6,17.4,42
0.7,0.4,0.5
10,5.1,49
0.3,0.2,0.5
11,154,400
200,84,400
50,1,123
7.9,11,23
0.2,0.2,0.3
200,400,79
17,13,39
14,2.8,400
34,18,25
10,13,19
176,45.6,400
2.7,1.9,3.2
9.2,5.6,29
0.5,0.4,0.6
0.8,0.8,0.6
0.2,0.3,0.5
0.5,5.5,66
0.1,0.2,0.3
1.9,5.2,124
200,132,400
200,400,400
200,400,400
200,400,400
1.9,4.3,400
0.9,0.4,0.6
5.4,24,400
48,13,22
6.6,4.6,2.8
111,400,400
0.2,0.4,0.4
1.6,1.1,1.5
0.1,0.4,0.4
0.3,0.4,0.5
183,400,400
200,84,19
0.4,0.3,0.5
150,88,240
0.3,0.4,0.4
200,29,400
7.2,11.4,400
0.1,400,400
200,4,400
29,28,72
11,10,24
2.1,1.2,1.6
71,4,400
0.5,0.5,0.3
32,43,188
8.6,2.8,110
19,3.6,120
0.2,NaN,0.3
56,1.2,400
0.1,0.2,0.2
6.1,34.4,34.1
NaN,NaN,1
7.8,9.4,16
1.5,9.5,9.6
NaN,NaN,1
0.4,0.3,0.3
0.3,0.2,0.4
3.5,1.5,3.4
NaN,NaN,1
NaN,NaN,1
11,0.3,47.1
0.2,0.3,0.4
0.6,0.4,0.6
1,0.5,0.7
1.1,0.6,0.7
0.3,NaN,0.7
1.4,2.1,2.2
0.6,0.7,1.2
1.1,1.4,2.6
25.7,330,400
0.7,1.3,4.5
0.5,0.4,0.9
0.4,4.3,85
2.1,76,400
0.1,0.2,0.2
0.3,0.3,0.3
200,96,400
1,1,0.9
61,2,400
0.3,0.3,0.4
41,31,34
0.5,0.5,0.7
0.4,0.3,0.3
0.6,0.7,1.5
2.2,1.5,3.4
0.9,0.7,0.6
0.2,0.3,0.4
0.4,0.3,0.3
0.4,9.3,400
2.2,4.4,9
0.1,0.2,0.2
1.5,1,1
13,400,400
0.7,0.5,0.6
0.2,0.3,0.3
NaN,0.2,0.1
0.1,0.1,0.3
9.5,400,400
1.4,0.6,0.8
2.5,67,400
1,0.6,0.8
10,6.7,4.7
0.1,0.2,0.4
2.2,95,400
93,75,400
200,23,300
0.3,0.2,0.2
0.1,0.2,0.2
0.2,0.2,0.4
190,240,240
0.3,0.2,0.2
0.2,0.3,0.4
200,27,300
110,400,300
0.7,0.7,0.6
0.8,107,400
1,0.7,0.9
1.1,0.7,0.7
16,240,240
0.4,3.7,240
9.2,9.6,26
0.6,0.2,0.5
2.4,1.3,1.7
0.3,NaN,0.4
145,NaN,195
3,NaN,400
0.6,NaN,0.4
1.4,NaN,4.7
0.2,NaN,0.2
0.2,NaN,0.2
0.2,0.4,0.5
2.6,1.1,3.3
0.6,0.4,0.4
0.2,0.5,1
1.1,0.6,0.5
0.7,0.6,0.6
161,5.3,400
200,270,400
8,400,300
0.9,0.6,0.5
20,400,114
1.5,0.9,1.1
53,2.4,400
1,0.7,0.5
200,400,33
200,400,215
4,300,400
17,0.5,52
0.2,0.2,0.3
0.4,0.5,0.5
0.1,0.2,0.1
2,400,400
0.5,0.5,0.7
0.1,0.2,0.3
5.3,1.2,2.8
0.1,0.2,0.1
NaN,0.5,1
0.4,0.2,0.2
12,7.3,3.6
NaN,85,218
0.6,0.4,0.5
0.2,45,120
0.3,0.3,0.7
0.8,0.5,0.4
41,3.6,400
NaN,0.6,0.7
38,57,195
200,400,207
7.5,44,100
100,100,100
1.4,0.9,0.8
0.4,0.5,0.6
46,20,43
2.2,1.2,1.3
NaN,11,26
1.2,0.8,0.6
0.5,0.4,0.6
NaN,0.3,0.6
1.1,0.4,0.4
200,400,297
8.8,20,114
4.8,3,32
0.2,0.3,0.3
1.6,0.8,1.5
0.4,0.3,0.3
1.3,0.8,0.9
2.1,1,1.1
1.5,0.8,0.8
0.2,0.2,0.2
0.1,0.5,1.2
0.7,0.4,0.4
0.1,0.2,0.1
0.6,0.4,0.6
0.8,0.8,0.5
NaN,285.7,400
13,4.7,11
NaN,128,149
0.3,0.3,0.6
0.6,0.7,0.7
0.2,302,400
0.4,0.5,0.9
16,21,32
0.7,0.8,2.7
0.3,0.3,0.4
27,16,34
0.3,0.2,0.2
151,12,400
97,8.4,400
0.8,0.6,1.7
0.4,0.4,0.5
0.5,0.5,0.7
0.2,0.2,0.4
0.5,9.5,156
0.1,0.3,1.1
0.2,0.3,0.4
0.4,0.4,0.6
0.6,0.2,0.2
1.5,1.6,3.1
0.5,0.3,0.3
0.2,0.2,0.2
1.6,0.8,0.7
1,0.9,0.9
0.2,0.3,0.6
2.3,0.9,1
0.5,0.7,0.6
80,96,151
0.1,0.1,0.3
0.4,0.4,0.3
0.2,0.2,0.4
0.3,0.2,0.2
0.2,0.2,0.4
6.8,13,44
155.3,73,197
1.3,0.7,0.8
0.2,0.1,0.2
1,0.3,0.3
NaN,250,74
0.5,0.4,1.3
0.6,0.2,0.4
0.5,0.4,0.6
NaN,33.6,NaN
23,105,200
1,0.6,0.6
200,400,400
0.3,0.3,0.3
152,3.9,400
0.3,0.2,0.2
200,400,46
200,400,400
5.9,400,400
0.9,0.6,0.9
2,1.3,0.8
1,1.1,1
1.9,0.8,1.1
0.9,0.8,1.1
0.9,0.7,0.8
2.1,1.2,1.2
0.8,0.9,0.9
1.6,0.8,0.7
2,7.1,2.9
1,4.5,400
0.3,0.4,0.5
3.3,1.8,2.4
0.5,0.4,0.3
1.5,0.6,0.8
1.8,1,1.4
0.1,0.2,0.1
1.5,0.8,0.8
1.3,0.9,0.9
1.2,0.8,0.8
1.2,0.9,0.8
19.7,101.4,400
0.5,0.5,0.4
2.9,1.4,0.7
1.4,0.8,1.4
0.6,0.7,0.9
1,0.6,0.5
18.5,5.2,7.8
94.3,24.4,45.9
1.3,0.9,1.1
0.4,0.5,0.4
2.1,1.4,1.9
0.6,0.7,0.5
0.8,0.6,0.5
0.4,0.6,0.6
3.8,1.8,3.5
0.4,0.3,0.2
1.4,1.2,2
0.6,1,0.6
111,31,110
1.1,0.7,0.8
100,100,100
2.4,1.1,1.5
42,87,230
0.3,0.5,1
0.5,0.4,0.5
0.6,0.6,0.6
0.4,0.3,0.3
1.1,0.8,1
0.2,0.3,0.6
2.7,1.9,1.9
30,10,3.1
4.9,5,11.6
52,26,55
5,1.7,64
1.3,1.7,3
35,3,161
9,109,400
0.5,7.6,75
0.4,47,206
2,123,400
1.4,400,400
200,31,400
37,213,400
58,23,39
200,25,400
200,400,400
0.4,7,96
0.3,56,191
0.1,150,356
6,300,400
0.1,170,170
200,270,400
20,12,400
0.1,0.5,3
3,8,400
3,3,8
0.2,2,3
14,167,150
1,1,1
75,150,400
190,270,400
53,1,2
190,5,165
190,7,400
190,400,69
1,270,400
0.1,0.3,0.4
1.5,1.2,1.5
0.1,270,400
1,8,75
1,47,300
1,1,1
2,11,19
5,2,64
21,1,400
35,3,161
0.5,0.7,0.5
0.5,0.6,0.5
1,1,1
47,26,171
1,1.3,1.1
3.9,3.4,2.1
27,19,16
10.1,365,400
2.1,1.3,1.6
24,20.7,48.6
107.5,31.6,94.2
0.2,0.2,0.5
0.1,0.2,0.3
2.8,1.5,1.4
1.3,31.6,400
0.1,0.5,0.8
0.1,1.5,20.3
0.2,0.2,0.4
0.6,0.4,0.8
1.6,1,1.1
0.2,0.3,1.3
64,4,381.9
5.6,270,400
0.1,270,400
0.8,0.7,0.9
2.7,1.5,2.3
1.3,0.9,0.8
1.8,1.8,2.2
1,0.6,0.4
19,0.6,400
11,400,400
35,400,300
0.3,0.2,0.3
1.7,11,200
200,400,400
3.5,20,300
2.8,1.6,1.7
31,400,300
0.4,0.2,0.3
175,10,400
5.6,148,400
1.2,0.7,1.6
75,27,61
0.4,0.3,0.7
3,1.3,1.3
0.3,0.3,0.5
15.3,201.3,400
0.1,0.1,0.3
1,10,400
30.8,19.5,42.6
63.1,30.4,51.8
0.3,0.3,0.5
0.1,0.2,0.1
1.4,0.7,0.8
180,180,98
180,180,78
0.6,3.5,180
0.9,3.7,30
5.8,2.4,3.4
0.6,0.4,0.3
0.9,0.6,0.5
0.5,0.4,0.6
0.4,0.3,0.5
1.7,0.9,1.2
35,2.4,400
0.4,0.6,0.9
200,400,400
0.6,0.5,0.4
0.1,2.5,54
24,41,400
17,11,10
19,4,34
200,32,200
3,1.5,2
1.7,0.9,1.4
200,200,200
1.5,0.8,0.9
59,400,12
0.3,0.2,0.3
42,400,19
0.7,0.6,0.9
0.6,0.7,1.2
1.5,0.7,0.8
1.2,1,0.7
10,2.4,5
5.8,7.5,22
0.2,0.4,0.5
104,17,53
63,32,400
88,70,205
1.6,1,1.5
10,5.1,12
11,37,109
17,21,128
3.4,2,2.7
2,0.9,1.2
200,21,400
2.4,50,400
0.4,0.2,0.3
200,73,196
200,57,170
10,42,81
200,13,400
0.1,9.5,138
0.8,0.6,0.7
200,123,400
31,10,32
1.2,1.2,1.5
1,0.7,0.6
1.2,0.9,0.7
12,171,400
12,12,30
0.3,0.5,0.7
99,1,106
48,13,47
7.4,46,400
1.6,1.1,1.2
1.7,1,1.2
27,245,400
1,1.1,0.7
1,1.3,1.7
1.5,0.9,0.7
200,400,67
2.6,1.2,1.6
95,400,47
48,100,115
20,7,14
0.4,0.5,0.5
3.3,2,1.6
0.1,7.2,103
1.3,0.7,0.7
1.9,1.2,1.2
1.4,0.8,1
40,19,48
0.5,0.2,0.3
0.2,0.2,0.1
1.2,1.1,2
0.6,0.5,0.5
0.7,0.7,0.9
1,0.6,0.8
0.3,0.4,0.7
1.5,1.3,2.1
2,1.3,1.1
2.2,1.9,3.2
0.6,0.6,0.8
1.7,1.1,1.3
1.2,0.7,1.3
0.4,0.2,0.7
0.5,0.4,0.2
0.5,0.2,1
0.6,0.4,0.5
0.3,0.3,0.5
1.4,0.7,1.2
1.9,1,3.1
0.6,0.4,0.5
1.4,1.2,1.1
0.6,0.5,1.1
1.5,0.8,1.2
0.8,0.5,0.6
0.8,0.5,0.4
1.1,0.7,0.9
0.4,0.4,0.4
1.1,0.8,0.8
0.7,0.4,0.5
0.8,0.5,0.4
1.6,0.9,0.9
0.5,0.5,0.9
0.6,0.4,0.7
2.1,1.1,1.9
0.4,0.4,0.9
0.8,0.6,1.1
0.9,0.6,1
1.1,0.9,0.9
1.1,0.6,0.5
1.9,1.4,1.5
0.6,0.6,0.9
0.9,0.5,1
0.6,0.3,0.5
0.6,0.5,0.4
0.2,0.2,0.3
1.3,0.8,0.9
1.2,1.1,3.1
0.9,0.5,0.5
0.9,0.6,0.7
0.1,0.2,0.3
0.9,1,1.1
0.6,0.6,1
0.8,0.6,1.4
0.9,0.4,0.7
0.3,0.2,0.2
0.5,0.4,0.4
1.2,0.5,0.8
2.9,1.7,1.8
0.2,0.3,0.4
0.4,0.6,0.7
0.8,0.5,0.3
0.6,0.5,0.6
1.3,0.5,0.4
1.1,0.7,1
0.4,0.4,0.7
1.3,1,2.2
0.9,0.5,0.4
2.6,1.3,1.8
0.8,0.6,0.5
0.3,0.4,0.4
0.5,0.5,0.6
0.3,0.4,0.5
0.9,0.7,0.8
1.7,0.6,1.3
1,0.5,1.3
1.3,0.8,0.6
200,163,400
1.9,1.2,1.1
21,0.6,61
200,400,69
0.8,0.6,1
1.1,0.7,0.5
120,400,300
27,13,28
2,1.2,1.8
7.4,400,400
16,7.3,9
0.7,0.4,0.4
0.6,0.5,0.5
1,1.4,7.3
0.4,1.4,3.7
1.3,0.9,0.9
43,400,400
200,43,124
20,0.5,400
0.3,11,400
41,7.3,400
14,20,55
21,28,76
0.1,0.2,0.1
200,6,400
0.2,0.3,0.2
44,29,56
0.4,0.4,0.4
49,1.3,89
20,2.6,6
0.4,0.5,0.6
23,250,400
0.6,0.4,0.3
0.6,0.3,0.5
0.5,0.7,1.1
26,24,89
6.4,4.7,3.1
1,1.1,1.5
1,0.9,1.6
33,29,83
1.3,0.6,0.9
0.1,0.2,0.6
10,0.9,126
0.9,0.6,0.6
0.4,0.4,0.8
0.4,0.3,0.2
1.1,0.8,1.1
0.3,0.3,0.5
0.2,0.2,0.3
3.4,0.3,18
1.9,0.9,1.4
79,24,51
0.7,0.7,0.9
120,32,76
1.2,1,1
177,294,47
1.1,0.8,0.8
2.2,400,400
91,68,94
0.2,0.2,0.2
75,8.7,25
200,400,300
0.1,0.3,0.2
95,23,85
0.5,0.5,0.3
107,13,40
200,21,400
4.3,400,400
1.6,2.1,2.9
22,42,400
7.1,4.9,29
0.3,0.3,0.3
200,400,400
2.3,1.4,1.2
3.2,400,400
0.8,0.8,0.8
17,2.5,150
1.2,1,1
0.3,0.3,0.6
43,400,300
43,400,300
0.2,0.2,0.2
1.1,0.7,0.8
3.6,1.9,1.8
200,400,300
200,13,300
5.7,400,300
39,1.1,110
37,12,25
3.2,3.6,6.2
0.1,0.2,0.2
2.5,1.4,1.6
200,58,300
200,4.6,300
41,7.3,300
0.3,0.6,2.2
200,300,300
200,40,300
2.1,20,300
2.6,66,300
